Début de la partie
INIT GAME
CoxswainManageur est : 16
Vigie est : 1
on va tout droit
collision x: 4348.113089753212 y:4365.879478827364
collision x: 4352.844666434117 y:4365.879478827364
collision x: 2792.6170369610636 y:2249.8644122858723
collision x: 2815.2189069872147 y:2240.1778965603794
collision x: 2839.7904787376697 y:2229.6472229530414
collision x: 2892.794161210363 y:2206.931359036173
collision x: 2980.912925798398 y:2175.1660733442764
collision x: 4482.8270900004545 y:4365.879478827364
collision x: 3409.5922531836054 y:2358.885785080794
collision x: 4572.240397029124 y:4365.879478827364
collision x: 4604.1942820434815 y:4365.879478827364
collision x: 4627.9193798320275 y:4365.879478827364
collision x: 4654.127383311829 y:4365.879478827364
collision x: 4683.229579488664 y:4365.879478827364
collision x: 4675.507196257015 y:4365.879478827364
collision x: 4663.3429888707 y:4365.879478827364
collision x: 4696.722515418027 y:4365.879478827364
collision x: 4720.488258182911 y:4365.879478827364
collision x: 4732.645509814727 y:4365.879478827364
collision x: 4723.938031107348 y:4365.879478827364
collision x: 4644.03665185854 y:4365.879478827364
collision x: 4546.46774004016 y:4365.879478827364
collision x: 4441.558946568487 y:4365.879478827364
collision x: 4330.85176740358 y:4365.879478827364
collision x: 4297.414359376163 y:4365.879478827364
collision x: 4200.0447298343615 y:4365.879478827364
collision x: 4087.278286840038 y:4365.879478827364
collision x: 4034.091745470536 y:4365.879478827364
on va tout droit
on va tout droit
collision x: 4178.480326237285 y:4780.010495289707
collision x: 4132.006191579656 y:4773.652919330895
collision x: 4434.726555783575 y:4889.830307952403
on va tout droit
on va tout droit
on va tout droit
on va tout droit
on va tout droit
on va tout droit
collision x: 5829.308750605436 y:6794.72121424372
collision x: 6861.2699748037985 y:8718.678950014579
collision x: 7479.526911083948 y:9894.008828311411
collision x: 5151.131613291233 y:6175.651465798053
collision x: 4977.114353515297 y:6175.651465798053
collision x: 4867.10019435897 y:6284.720165097028
collision x: 4943.128246603061 y:6625.651465798053
collision x: 4796.287255666341 y:6625.651465798053
collision x: 6887.200682339947 y:9369.002233314573
collision x: 5950.2353811549665 y:8338.280057172304
collision x: 5887.824891551719 y:8388.819075156896
collision x: 6374.81197475996 y:8998.879025194787
collision x: 7393.639729402948 y:10093.420084042917
collision x: 6323.088509340539 y:9054.345651084619
collision x: 6314.805019069889 y:9063.228606860659
collision x: 7380.011795207276 y:10100.97417132018
collision x: 7379.852212756532 y:10101.06262931708
collision x: 7379.692893341629 y:10101.150941510834
collision x: 5740.527141064914 y:8508.098441626653
collision x: 7379.389206602443 y:10101.319277819171
collision x: 5739.542665914198 y:8508.89565388478
collision x: 6312.421576360482 y:9065.784536244364
collision x: 6324.660540743859 y:9052.659853796522
collision x: 5827.873754246166 y:8437.366548918813
collision x: 6603.797220475413 y:9104.724229662257
collision x: 7083.556213728717 y:9552.106728581179
collision x: 7241.9505455809895 y:9699.811832592119
collision x: 7287.269993315651 y:9742.072901300116
collision x: 7502.72042843535 y:10032.95566523046
collision x: 7378.021452571938 y:9826.700006145613
collision x: 7390.3078040523615 y:9838.157214254697
collision x: 7365.60381246902 y:9815.120369415414
collision x: 7511.497752206271 y:10028.090315216708
collision x: 7524.532656357047 y:10020.864949861114
collision x: 7540.525527360907 y:10011.999956704956
collision x: 7573.102101166171 y:9993.94246697938
collision x: 7643.08398244218 y:9955.150876750395
collision x: 7740.264615086362 y:9901.282772449818
collision x: 7839.075629984214 y:9846.510932508705
collision x: 7939.698420141449 y:9790.734809142117
collision x: 8033.66723197063 y:9738.64704619094
collision x: 8109.963648665267 y:9696.35525182369
collision x: 8191.872712322024 y:9650.95231644273
collision x: 8286.762550081794 y:9598.354020481605
collision x: 8372.655068864382 y:9550.743019868338
collision x: 8605.829180443578 y:9279.609150281129
collision x: 8693.105156224678 y:9373.114635905697
collision x: 8954.408376551224 y:9228.271895704935
collision x: 9252.788209314705 y:9062.877253633174
collision x: 8829.047230941886 y:9610.543519417424
collision x: 8845.900731574404 y:9635.529861638002
collision x: 8874.900669699808 y:9678.52403799201
collision x: 8928.905156615805 y:9758.588982418223
collision x: 9003.545293774256 y:9869.247536453782
on va tout droit
on va tout droit
